Sucursal_Oficial,Sueldo_Normalizado
"010-Casa Central",17087
"217-Cdoro Rivadavia",55421
"339-Tortuguitas",27277
"257-Catriel",29653
"289-Rincon de los Sa",6153
"220-Gral. Roca",14131
"265-Allen",20213
"261-Ing. Jacobacci",29555
"250-Viedma",17150
"251-Cipolletti",34009
"285-Formosa",20400
"250-Viedma",8650
"070-Cordoba",4724
"306-Concepcion del Uruguay",23130
"112-Alvarez Jonte",34658
"288-Puerto Madryn",64152
"376-Dep.Bridgestone Argentina",27789
"305-Corrientes 3 de Abril",12757
"010-Casa Central",23667
"302-Vicente López",19860
"080-Rosario",8538
"080-Rosario",8726
"317-Calle Tucuman",13397
"305-Corrientes 3 de Abril",19254
"143-San Miguel",5872
"070-Cordoba",18904
"043-Tigre",7316
"214-Posadas",14364
"010-Casa Central",11247
"205-Mar del Plata",32933
"163-Zarate",23655
"305-Corrientes 3 de Abril",22467
"133-Av.Entre Rios",14777
"253-Villa Regina",6681
"324-Calle Florida",31718
"212-Neuquen",17172
"253-Villa Regina",16778
"302-Vicente López",18532
"358-Puerto Madero",10215
"288-Puerto Madryn",10786
"147-Cabildo",23217
"280-Rio Cuarto",23903
"306-Concepcion del Uruguay",9825
"080-Rosario",8417
"317-Calle Tucuman",27838
"290-Mar del Plata Pu",29699
"080-Rosario",21228
"133-Av.Entre Rios",32803
"205-Mar del Plata",16244
"160-Lavalle",36397
"103-Boedo",17087
"220-Gral. Roca",11564
"295-Moreno",12802
"010-Casa Central",9875
"224-Catamarca",46132
"060-Mendoza",30522
"060-Mendoza",32380
"315-Barracas",23398
"207-Parana",17681
"207-Parana",20859
"309-Suc. Paso de los Libres",23316
"211-Tucuman",7771
"308-Suc. La Plata - Calle 44",14534
"208-Resistencia",18147
"286-Villa Mercedes",34338
"283-Tandil",21811
"010-Casa Central",10809
"312-Avenida Callao",26831
"378-Junin",18975
"030-Libertador",173
"030-Libertador",20475
"255-Bariloche",28875
"283-Tandil",34714
"230-Ushuaia",20032
"117-Malabia",22370
"304-Avenida de Mayo",34717
"080-Rosario",25887
"358-Puerto Madero",17065
"207-Parana",30545
"214-Posadas",49696
"163-Zarate",23508
"144-Martinez",1037
"282-Av. Fuerza Aerea",31879
"284-Sgo del Estero",12525
"023-Irigoyen",22531
"267-Puerto Deseado",18806
"200-Congreso",25355
"046-Avellaneda",22812
"131-Quilmes",16546
"214-Posadas",24002
"223-Rio Gallegos",59567
"227-Jujuy",6907
"115-Paseo Colon",31875
"047-Haedo",10410
"133-Av.Entre Rios",20773
"302-Vicente López",14211
"230-Ushuaia",17375
"110-Saenz Pena",39098
"163-Zarate",21100
"214-Posadas",16000
"070-Cordoba",16885
"018-Beiro",14247
"309-Suc. Paso de los Libres",26590
"304-Avenida de Mayo",23140
"207-Parana",7766
"265-Allen",43864
"309-Suc. Paso de los Libres",22674
"337-Tribunales",26068
"315-Barracas",24351
"306-Concepcion del Uruguay",3778
"306-Concepcion del Uruguay",7856
"080-Rosario",18375
"377-Chacarita",19009
"045-San Nicolas",12472
"060-Mendoza",12937
"042-San Justo",39693
"253-Villa Regina",3051
"306-Concepcion del Uruguay",21278
"131-Quilmes",28409
"366-Coronel Suarez",12587
"258-Río Colorado",10626
"358-Puerto Madero",20481
"048-Lomas de Zamora",8080
"216-Salta",38483
"264-Choele Choel",10831
"376-Dep.Bridgestone Argentina",46618
"329-Panamericana",36644
"057-Pilar",50149
"128-Moron",14030
"115-Paseo Colon",18713
"298-Ezeiza",18673
"283-Tandil",11046
"106-Botanico",47036
"203-Santa Fe",19420
"160-Lavalle",39485
"212-Neuquen",21407
"216-Salta",46072
"207-Parana",21082
"207-Parana",23649
"146-Clinicas",12855
"345-Adrogue",5846
"305-Corrientes 3 de Abril",14181
"218-Corrientes",28721
"291-Godoy Cruz",45511
"306-Concepcion del Uruguay",18246
"306-Concepcion del Uruguay",26516
"203-Santa Fe",21220
"207-Parana",25822
"362-RAWSON",23892
"309-Suc. Paso de los Libres",49437
"291-Godoy Cruz",27643
"251-Cipolletti",10038
"144-Martinez",16066
"306-Concepcion del Uruguay",23791
"306-Concepcion del Uruguay",24802
"306-Concepcion del Uruguay",19511
"306-Concepcion del Uruguay",28062
"306-Concepcion del Uruguay",25406
"306-Concepcion del Uruguay",22539
"306-Concepcion del Uruguay",12499
"306-Concepcion del Uruguay",25703
"302-Vicente López",6773
"146-Clinicas",32485
"203-Santa Fe",35546
"070-Cordoba",16796
"057-Pilar",60
"286-Villa Mercedes",42881
"070-Cordoba",22911
"163-Zarate",21113
"107-Villa Devoto",5740
"291-Godoy Cruz",37269
"163-Zarate",27224
"302-Vicente López",10254
"376-Dep.Bridgestone Argentina",32824
"208-Resistencia",17330
"309-Suc. Paso de los Libres",2898
"309-Suc. Paso de los Libres",33984
"026-Villa Luro",8238
"010-Casa Central",18327
"010-Casa Central",22915
"326-San Isidro",8093
"070-Cordoba",31931
"306-Concepcion del Uruguay",37566
"251-Cipolletti",16500
"080-Rosario",41765
"218-Corrientes",27283
"305-Corrientes 3 de Abril",11631
"110-Saenz Pena",15283
"234-Lanus Este",20812
"360-Orono",5286
"080-Rosario",5992
"212-Neuquen",44524
"306-Concepcion del Uruguay",32663
"285-Formosa",26364
"160-Lavalle",25319
"128-Moron",22983
"163-Zarate",26823
"234-Lanus Este",13624
"214-Posadas",29673
"060-Mendoza",10580
"253-Villa Regina",8439
"305-Corrientes 3 de Abril",27351
"306-Concepcion del Uruguay",22670
"286-Villa Mercedes",25049
"010-Casa Central",9463
"208-Resistencia",22477
"080-Rosario",1868
"329-Panamericana",15407
"306-Concepcion del Uruguay",19637
"306-Concepcion del Uruguay",23418
"306-Concepcion del Uruguay",29531
"306-Concepcion del Uruguay",30824
"286-Villa Mercedes",40231
"309-Suc. Paso de los Libres",14995
"026-Villa Luro",11711
"049-Dardo Rocha",19125
"224-Catamarca",15820
"306-Concepcion del Uruguay",22106
"306-Concepcion del Uruguay",32728
"306-Concepcion del Uruguay",21219
"306-Concepcion del Uruguay",26744
"306-Concepcion del Uruguay",25752
"373-Gualeguaychu",22317
"133-Av.Entre Rios",17102
"207-Parana",19535
"306-Concepcion del Uruguay",25240
"207-Parana",25221
"207-Parana",30412
"306-Concepcion del Uruguay",26187
"316-Belgrano",337
"163-Zarate",15564
"214-Posadas",18436
"214-Posadas",8813
"207-Parana",25265
"207-Parana",26600
"309-Suc. Paso de los Libres",11550
"286-Villa Mercedes",40122
"207-Parana",19235
"207-Parana",27760
"274-SM.de los Andes",18588
"302-Vicente López",16106
"339-Tortuguitas",30171
"070-Cordoba",32953
"329-Panamericana",27103
"203-Santa Fe",38340
"207-Parana",33539
"207-Parana",23285
"207-Parana",30884
"306-Concepcion del Uruguay",27192
"220-Gral. Roca",13952
"306-Concepcion del Uruguay",27183
"336-Luján de Cuyo",39668
"221-La Rioja",10154
"080-Rosario",9862
"305-Corrientes 3 de Abril",15965
"208-Resistencia",25916
