Persona_Id,Tipo_Persona_Id,Sucursal_Oficial,Zona_Oficial,Territorio_Oficial,Sexo,Estdo_Civil,Pais,Provincia,Profesion,LEGALES97,LEGALES98,LEGALES998,Convenio_Desc,Dependencia_Principal_Id,Categoria_Laboral,Dependencia_Desc,Ind_Vto_Min_Dia_Acred_Haberes,Ind_Vto_Max_Dia_Acred_Haberes,Renueva_Contrato,Segmento_Convenio_Id,Segmento_Convenio_Desc,Tipo_Convenio_Segmento_Id,Grupo_Segmento,Comportamiento_Credito_Id,Ultimo_Grupo_Segmento,Preembozo_VI,Preembozo_MA,Preembozo_AM,Producto_VI,Producto_MA,Producto_AM,Paquete_VI,Paquete_MA,Paquete_AM,Grupo_Afinidad_VI,Grupo_Afinidad_MA,Grupo_Afinidad_AM,Tipo_Pago_VI,Tipo_Pago_MA,Tipo_Pago__AM,Forma_Pago_VI,Forma_Pago_MA,Forma_Pago_AM,UPG_VISA_12,UPG_AMEX_12,UPG_MASTER_12,UPG_VISA_6,UPG_AMEX_6,UPG_MASTER_6,RUBRO_DE_MAYOR_CONS_TC,RUBRO_DE_MAYOR_CONS_TC_3,RUBRO_DE_MAYOR_CONS_TC_6,RUBRO_DE_MAYOR_CONS_TC_12,Ind_Precancelacion_PPE,CANCELA_PPE,Ind_Precancelacion_PHI,CANCELA_PHI,Fecha_Vto_PPR_Id,Ind_Precancelacion_PPR,CANCELA_PPR,PATAGONIA_ANTICIPO,UTILIZA_ADELANTO_CA,RUBRO_DE_MAYOR_CONS_TD,RUBRO_DE_MAYOR_CONS_TD_3,RUBRO_DE_MAYOR_CONS_TD_6,RUBRO_DE_MAYOR_CONS_TD_12,CARTERA,EXCLUSION,SEGMENTO,SCORECARD,Situacion_BCRA_Max_6_T,MODA_SIT_1,MODA_SIT_3,MODA_SIT_6,MODA_SIT_12,tend_monto_3_signo,tend_monto_6_signo,tend_monto_12_signo,tend_Q_3_s_signo,tend_Q_6_s_signo,tend_Q_12_s_signo,TIPO_CARTERA,VINCULACION,Status
CU 0081227173368661,F,292-Bariloche Onelli,Cordillera,-1.000000,F,D,HOLANDA,RIO NEGRO,OTROS,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,292,,BARILOCHE ONELLI,S,N,N,JW,Jubilados,JUBI,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,0.000000,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,PS,SIN UTILIZACION,Publico,CURRENT,,,,,1,,,,,,,PS,PS,0.000000
CU 012301246178,F,335-Cerrito,Microcentro,-1.000000,M,S,BRASIL,CAPITAL FEDERAL,OTROS,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Sin Informar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG,SIN PROD CRED,MA,CURRENT,,,,,,,,,,,,CG,CG,0.000000
CU 0780129250200,F,339-Tortuguitas,Panamericana,-1.000000,M,S,ARGENTINA,CAPITAL FEDERAL,OTROS,0.000000,0.000000,0.000000,DALBAN SA,01,ADMN,DALBAN S.A.,S,S,-1,GE,Grandes Empresas,GRAE,Privado,,Privado,1,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,4510,-1,-1,Pago total,-1,-1,Pago total de caja de ahorro,-1,-1,I,I,I,I,I,I,TURISMO,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,,,,,,,,0.000000,1.000000,AUTOMOVIL,AUTOMOVIL,AUTOMOVIL,AUTOMOVIL,PS,OK,Privado,NO CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0781127047030256,F,292-Bariloche Onelli,Cordillera,-1.000000,F,S,ARGENTINA,RIO NEGRO,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,292,01,BARILOCHE ONELLI,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,4510,-1,-1,Pago total,-1,-1,Pago total de caja de ahorro,-1,-1,U,I,I,I,I,I,AUTOMOVIL,AUTOMOVIL,HOGAR_DECO,HOGAR_DECO,,,,,,,,1.000000,0.000000,OTROS,OTROS,OTROS,OTROS,PS,OK,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0781220054448954,F,299-Viedma Centro,Viedma,-1.000000,M,S,ARGENTINA,BUENOS AIRES,OTROS,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,299,,VIEDMA CENTRO,S,N,N,JW,Jubilados,JUBI,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,0.000000,,,,,PS,SIN UTILIZACION,Publico,CURRENT,,,,,,,,,,,,PS,PS,0.000000
CU 0781223142564564,F,265-Allen,Alto Valle,-1.000000,F,S,ARGENTINA,RIO NEGRO,EMP.EMP.PUBLICA,0.000000,0.000000,0.000000,CONSEJO DE SALUD PUBLICA,01,01,CONSEJ PCIAL SALUD 1844,S,N,N,WW,Organismos Publicos,ORG,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,0.000000,NO,0.000000,,NO,0.000000,1.000000,0.000000,,,,,PS,OK,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0781227014791014,F,292-Bariloche Onelli,Cordillera,-1.000000,F,S,ARGENTINA,RIO NEGRO,OTROS,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,292,,BARILOCHE ONELLI,S,N,N,JW,Jubilados,JUBI,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,0.000000,AUTOMOVIL,AUTOMOVIL,AUTOMOVIL,AUTOMOVIL,CG,SIN UTILIZACION,Publico,CURRENT,,,,,,,,,,,,PS,PS,0.000000
CU 0781227027308037,F,303-Cipolletti Esmeralda,Alto Valle,-1.000000,F,S,ARGENTINA,RIO NEGRO,OTROS,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Público,1,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,4510,-1,-1,Pago minimo,-1,-1,Pago minimo de caja de ahorro,-1,-1,I,I,I,I,I,I,-1,-1,-1,-1,,,,,,,,0.000000,0.000000,,,,,CG,SIN UTILIZACION,MA,CURRENT,,,,,,,,,,,,CG,CG,0.000000
CU 0781320057005638,F,250-Viedma,Viedma,-1.000000,M,S,ARGENTINA,RIO NEGRO,OTROS,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,250,,SUCURSAL VIEDMA,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,0,-1,VISA CLASSIC,MASTERCARD INTERNACIONAL,-1,No Aplica,No Aplica,-1,4510,5630,-1,Pago total,Pago total,-1,Pago total de caja de ahorro,Debito en caja de ahorro,-1,I,I,I,I,I,I,-1,-1,-1,-1,,,,,,,,1.000000,0.000000,,,,,PS,SIN UTILIZACION,Publico,CURRENT,,,,,,,,,,,,PS,PS,0.000000
CU 0781323046786114,F,263-El Bolsón,Cordillera,-1.000000,F,V,ARGENTINA,RIO NEGRO,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,263,01,SUCURSAL EL BOLSON,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,0,-1,VISA CLASSIC,MASTERCARD INTERNACIONAL,-1,No Aplica,No Aplica,-1,4510,5892,-1,Pago total,Pago minimo,-1,Pago total de caja de ahorro,Debito en caja de ahorro,-1,U,I,U,U,I,U,OTROS,TURISMO,TURISMO,TURISMO,,,,,,,,1.000000,0.000000,AUTOMOVIL,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,PS,OK,Publico,CURRENT,,,,,,,,,,,,PS,PS,0.000000
