Mes_Id, mora ,Suma_Sum,SUma_3090_Sum,Suma_mas90_Sum,SUma_3060_Sum,SUma_6090_Sum,IDC_COMEX_Sum,IDC_CTS_Sum,IDC_DTO_DOC_Sum,IDC_FZA_Sum,IDC_HIPO_Sum,IDC_INTYCOM_Sum,IDC_LSG_Sum,IDC_ON_Sum,IDC_OTROS_PMOS_Sum,IDC_PMOS_PERS_Sum,IDC_PMOS_COMER_Sum,IDC_TC_Sum,IDI_COMEX_Sum,IDI_CTS_Sum,IDI_DTO_DOC_Sum,IDI_FZA_Sum,IDI_HIPO_Sum,IDI_INTYCOM_Sum,IDI_LSG_Sum,IDI_ON_Sum,IDI_OTROS_PMOS_Sum,IDI_PMOS_PERS_Sum,IDI_PMOS_COMER_Sum,IDI_TC_Sum,DAUDM_COMEX_Sum,DAUDM_CTS_Sum,DAUDM_DTO_DOC_Sum,DAUDM_FZA_Sum,DAUDM_HIPO_Sum,DAUDM_INTYCOM_Sum,DAUDM_LSG_Sum,DAUDM_ON_Sum,DAUDM_OTROS_PMOS_Sum,DAUDM_PMOS_PERS_Sum,DAUDM_PMOS_COMER_Sum,DAUDM_TC_Sum,DEUDA_1_COMEX_Sum,DEUDA_2_COMEX_Sum,DEUDA_3_COMEX_Sum,DEUDA_1_CTS_Sum,DEUDA_2_CTS_Sum,DEUDA_3_CTS_Sum,DEUDA_1_DTO_DOC_Sum,DEUDA_2_DTO_DOC_Sum,DEUDA_3_DTO_DOC_Sum,DEUDA_1_FZA_Sum,DEUDA_2_FZA_Sum,DEUDA_3_FZA_Sum,DEUDA_1_HIPO_Sum,DEUDA_2_HIPO_Sum,DEUDA_3_HIPO_Sum,DEUDA_1_INTYCOM_Sum,DEUDA_2_INTYCOM_Sum,DEUDA_3_INTYCOM_Sum,DEUDA_1_LSG_Sum,DEUDA_2_LSG_Sum,DEUDA_3_LSG_Sum,DEUDA_1_ON_Sum,DEUDA_2_ON_Sum,DEUDA_3_ON_Sum,DEUDA_1_OTROS_PMOS_Sum,DEUDA_2_OTROS_PMOS_Sum,DEUDA_3_OTROS_PMOS_Sum,DEUDA_1_PMOS_PERS_Sum,DEUDA_2_PMOS_PERS_Sum,DEUDA_3_PMOS_PERS_Sum,DEUDA_1_PMOS_COMER_Sum,DEUDA_2_PMOS_COMER_Sum,DEUDA_3_PMOS_COMER_Sum,DEUDA_1_TC_Sum,DEUDA_2_TC_Sum,DEUDA_3_TC_Sum,Recuento_registros
201202, 1.448 ,3731714078,87404501.24,51826503.85,65943817.35,21221685.02,0,220457589.1,3287049.11,0,68068539.7,271851.94,6267101.26,0,41666913.75,2033346959,1184606.95,1305886810,0,0,0,0,389105.54,0,52039.82,0,515675.68,44040289.05,50959.34,0,0,4202144,9,0,7465,0,1639,0,33853,995834,21463,3558070,0,0,0,205322534.4,4633472.05,10501582.67,3287049.11,0,0,0,0,0,67490887.55,807854.37,158903.32,271851.94,0,0,6103966.62,48005.47,167168.99,0,0,0,40512292.08,796653.7,873643.65,2051658235,7688368.71,18040643.66,163627.33,69192.15,1002746.81,1270777092,23185784.01,11923933.8,533384
201203, 1.586 ,3828918023,85549929.15,55432354.74,58013381.73,27221639.95,0,238611741.3,3156038.27,0,67321435.09,269192.07,6189971.24,0,38720426.39,2102959035,1175867.71,1323948008,0,0,0,0,396736.16,0,50717.45,0,438792.72,39990152.7,50751.57,0,0,4714075,8,0,7471,0,1665,0,34146,1046810,23544,2690049,0,0,0,224188564.9,3783122.66,10640053.66,3156038.27,0,0,0,0,0,66514109.37,1032913.9,171147.98,269192.07,0,0,6031535.43,45142.05,164011.21,0,0,0,37018968.94,1134534.29,1005715.88,2115041474,8964915.02,18942798.7,157043.59,17608.15,1051967.54,1285605423,25342843.79,12999741.39,545694
201204, 1.828 ,3909417019,117452860.3,62001451.69,82473159.19,34537653.08,0,254527224.7,3163910.76,0,66597503.6,257034.08,5872524.68,0,36374324.45,2192626272,1250599.92,1298451642,0,0,0,0,404525.21,0,49289.52,0,402314.13,45220934.2,52038.23,0,0,5608794,5,0,7569,0,1798,0,32447,1045155,25992,3351077,0,0,0,236583042.9,6371025.03,11573156.74,3163910.76,0,0,0,0,0,66019547.32,791881.94,190599.55,257034.08,0,0,5815103.25,0,106710.95,0,0,0,34796336.96,1002276.12,978025.5,2206773783,11301729.86,19771693.37,142887.53,73168.65,1086581.97,1252370562,30511892.02,15569188.38,548818
201205, 1.899 ,3980638058,140900108.3,72747916.01,102704491.9,36994616.89,0,251136636.3,3121295.22,0,66133482.55,454122.37,5673894.46,0,34554957.06,2231492509,1360543.66,1334762309,0,0,0,0,457049.38,0,45351.68,0,408410.61,47321061.13,56753.42,0,0,4265615,4,0,8178,0,1915,0,32471,1095835,28999,3789799,0,0,0,230286393.2,8189230.76,12661012.38,3121295.22,0,0,0,0,0,65602868.01,797007.85,190656.07,454122.37,0,0,5612037.26,0,107208.88,0,0,0,33189097.14,825714.25,948556.28,2244200559,13351360.71,21261650.52,143395.38,93067.91,1180833.79,1278021366,37835951.53,18904990.69,531009
201206, 2.072 ,4145491008,123748714.4,78729955.47,80969327.83,42681424.63,0,274390762.1,2985614.7,0,65267662.69,319374.84,5430146.7,0,32518241.38,2270815046,1184263.36,1434235115,0,0,0,0,394954.91,0,48087.69,0,332207.84,54340973.22,51010.05,0,0,3977477,2,0,8845,0,2005,0,28999,1083804,23617,3277224,0,0,0,254422484,6984141.29,12984136.79,2985614.7,0,0,0,0,0,64546885.78,893552.72,222179.1,319374.84,0,0,5360099.57,15652.72,102482.1,0,0,0,31053824.27,961929.26,834695.69,2286295551,15598288.65,23262179.44,161435.55,51030.27,1022807.59,1381507674,31647554.42,21079886.52,546669
201207, 1.938 ,4186268337,119252227.2,86758307.15,84787908.09,33740731.77,0,267634635.5,2973762.65,0,64706552.92,313178.05,5282135.6,0,28492527.57,2307047082,1123598.43,1454244738,0,0,0,0,417028.42,0,43850.66,0,336811.19,50606977.69,42352.58,0,0,4237789,10,0,8610,0,2115,0,29186,1124698,24747,3523833,0,0,0,245313664.2,8066307.95,14254663.43,2973762.65,0,0,0,0,0,63872320.13,1021148.15,230113.06,313178.05,0,0,5211158.26,14544.05,100283.95,0,0,0,27205003.65,792615.57,831719.54,2316842864,15437579.23,25373616.09,133507.86,50288.97,982154.18,1404385680,26701902.86,23157154.76,550962
201208, 1.976 ,4370438624,96605488.91,84704432.32,65223793.27,30863080.42,0,245040522.6,2353924.86,0,63624259.02,370025.58,5052178.06,0,27160009.93,2362390188,1098634.17,1608308154,0,0,0,0,380695.99,0,44700.41,0,322551.47,51398818.8,42370.79,0,0,4124777,37,0,8493,0,2215,0,30682,1118101,22784,3909204,0,0,0,223887014.2,6574015.88,14579492.54,2328924.86,25000,0,0,0,0,63127359.19,622936.01,254659.81,370025.58,0,0,4996934.37,1856.89,98087.21,0,0,0,25467133.35,1095623.43,919804.62,2371230959,15159414.38,27398633.39,128532,44607.73,967865.23,1562494304,23152549.86,22661299.68,558876
201209, 1.978 ,4513902260,96008104.51,89208981.04,68312846.94,26988732.82,0,275137838.3,2555189.08,0,62449996.77,338973.35,4822699.5,0,24659858.31,2453793223,1020752.21,1632141668,0,0,0,0,380867.87,0,44231.29,0,270609.37,53714903.83,42096.06,0,0,4395754,68,0,7959,0,2268,0,30002,1169451,23002,3392986,0,0,0,253202988.7,6096505.12,15838344.41,2530189.08,25000,0,0,0,0,61293638.18,1299471.84,237754.62,338973.35,0,0,4771098.08,0,95832.71,0,0,0,23284254.63,725079.16,921133.89,2462015076,16082567.93,29410483.09,110725.74,15407.13,936715.4,1587068170,21196210.52,23877287.73,567090
201210, 1.949 ,4578712973,107677391.6,90561967.99,81877805.5,24689105.2,0,261712475.3,2192885.34,0,62003760.42,446443.75,4623099.02,0,22930061.12,2524374651,982726.57,1640524100,0,0,0,0,421043.33,0,44619.48,0,275334.86,55783472.18,43761.84,0,0,4650369,98,0,7233,0,2437,0,30675,1182435,23363,3702700,0,0,0,238435059.8,6714229.03,16563186.47,2167885.34,0,25000,0,0,0,61643942.59,607951.36,172909.8,446443.75,0,0,4472565.68,134151.04,61001.78,0,0,0,21367838.02,894346.7,943211.26,2533328162,15060755.28,31769205.7,72324.16,1838.56,952325.69,1591483209,24505048.14,24535842.75,565292
201211, 2.023 ,4647244310,118094152.6,90577818.89,86632945.8,29637154.73,0,189481718.2,2226794.21,0,61753620.63,539632.56,4346377.13,0,21374000.99,2568289859,1045662.04,1735388494,0,0,0,0,376435.79,0,41765.45,0,247723.15,60054138.77,48109.78,0,0,4484422,130,0,7509,0,2440,0,30936,1220755,23416,3276897,0,0,0,165775242,6722746.04,16983730.21,2201794.21,0,25000,0,0,0,61451207.22,464306.56,214542.64,539632.56,0,0,4299579.19,27561.61,61001.78,0,0,0,19795440.42,951306.17,874977.55,2578007418,16706222.14,33630357.99,62692.22,69859.11,961220.49,1684719200,26705712.13,23963581.62,572140
