Mes_Id, mora ,Suma_Sum,SUma_3090_Sum,Suma_mas90_Sum,SUma_3060_Sum,SUma_6090_Sum,IDC_COMEX_Sum,IDC_CTS_Sum,IDC_DTO_DOC_Sum,IDC_FZA_Sum,IDC_HIPO_Sum,IDC_INTYCOM_Sum,IDC_LSG_Sum,IDC_ON_Sum,IDC_OTROS_PMOS_Sum,IDC_PMOS_PERS_Sum,IDC_PMOS_COMER_Sum,IDC_TC_Sum,IDI_COMEX_Sum,IDI_CTS_Sum,IDI_DTO_DOC_Sum,IDI_FZA_Sum,IDI_HIPO_Sum,IDI_INTYCOM_Sum,IDI_LSG_Sum,IDI_ON_Sum,IDI_OTROS_PMOS_Sum,IDI_PMOS_PERS_Sum,IDI_PMOS_COMER_Sum,IDI_TC_Sum,DAUDM_COMEX_Sum,DAUDM_CTS_Sum,DAUDM_DTO_DOC_Sum,DAUDM_FZA_Sum,DAUDM_HIPO_Sum,DAUDM_INTYCOM_Sum,DAUDM_LSG_Sum,DAUDM_ON_Sum,DAUDM_OTROS_PMOS_Sum,DAUDM_PMOS_PERS_Sum,DAUDM_PMOS_COMER_Sum,DAUDM_TC_Sum,DEUDA_1_COMEX_Sum,DEUDA_2_COMEX_Sum,DEUDA_3_COMEX_Sum,DEUDA_1_CTS_Sum,DEUDA_2_CTS_Sum,DEUDA_3_CTS_Sum,DEUDA_1_DTO_DOC_Sum,DEUDA_2_DTO_DOC_Sum,DEUDA_3_DTO_DOC_Sum,DEUDA_1_FZA_Sum,DEUDA_2_FZA_Sum,DEUDA_3_FZA_Sum,DEUDA_1_HIPO_Sum,DEUDA_2_HIPO_Sum,DEUDA_3_HIPO_Sum,DEUDA_1_INTYCOM_Sum,DEUDA_2_INTYCOM_Sum,DEUDA_3_INTYCOM_Sum,DEUDA_1_LSG_Sum,DEUDA_2_LSG_Sum,DEUDA_3_LSG_Sum,DEUDA_1_ON_Sum,DEUDA_2_ON_Sum,DEUDA_3_ON_Sum,DEUDA_1_OTROS_PMOS_Sum,DEUDA_2_OTROS_PMOS_Sum,DEUDA_3_OTROS_PMOS_Sum,DEUDA_1_PMOS_PERS_Sum,DEUDA_2_PMOS_PERS_Sum,DEUDA_3_PMOS_PERS_Sum,DEUDA_1_PMOS_COMER_Sum,DEUDA_2_PMOS_COMER_Sum,DEUDA_3_PMOS_COMER_Sum,DEUDA_1_TC_Sum,DEUDA_2_TC_Sum,DEUDA_3_TC_Sum,Recuento_registros
201510, 2.597 ,8111485260,138560814.3,223526778.1,93281992.47,45032564.5,0,196911331.6,543910.9,0,32481320.02,608728.75,1480963.02,0,10569506.35,3644215186,981067.54,4137297502,0,0,0,0,233946.86,0,9879.51,0,595284.89,85733485.5,9000.2,0,0,6973589,2463,0,4812,14327,3,0,957144,1935852,592,6844141,0,0,0,176148344.5,5192379.64,15570607.37,537453.97,0,6456.93,0,0,0,31873016.33,244786.01,597464.54,417156.32,188615.51,2956.92,1490842.53,0,0,0,0,0,7805242.18,695439.34,2664109.72,3606976669,28180259.25,94791743.39,978723.22,0,11344.52,4021168346,38698419.2,77430737.1,610942
201511, 2.379 ,8338714961,172610934.4,216559325.8,131338947.1,39194872.93,0,200330953.9,787782.7,0,31756653.09,667708.7,1417073.23,0,10451345.65,3778154701,1220761.5,4221459571,0,0,0,0,236778.42,0,10240.93,0,636504.5,91675227.22,12783.7,0,0,6938713,2555,0,4949,16410,4,0,924396,1856080,654,6998924,0,0,0,179386887.3,5734563.54,15209503.1,781325.77,0,6456.93,0,0,0,31046423.19,456929.8,490078.52,473106.85,191644.93,2956.92,1427314.16,0,0,0,0,0,7816097.62,731027.99,2540724.54,3750240005,29231026.73,90358896.4,1222200.68,0,11344.52,4094260546,51860825.1,75338199.87,616069
201512, 2.398 ,8944388603,193250826.5,212782106.2,135703497.5,54590799.63,0,214646096.2,1544419.65,0,30978240.83,531731.41,1514153.53,0,10508536.97,3877568851,1167192.62,4711103335,0,0,0,0,227258.86,0,11230.89,0,676999.77,94016247.66,13377.79,0,0,6930926,2646,0,5430,15709,3,0,901448,1845905,208,6760176,0,0,0,193012273,6414443.97,15219379.2,1537962.72,0,6456.93,0,0,0,30347118.6,364202.52,494178.57,285836.31,244416.64,1478.46,1525384.42,0,0,0,0,0,7912485.64,537186.3,2735864.8,3853825419,28204369.6,89555309.18,1172306.72,0,8263.69,4572625551,65948582.39,72529202.27,626783
201601, 2.316 ,9033841912,140663828.6,216638275.5,88506955.75,51274674.9,0,150836173.9,2366306.92,0,30082309.96,417619.02,1542330.52,0,10978526.34,3953497169,1118023.25,4785661807,0,0,0,0,212227.86,0,12870.54,0,718187.03,96483599.65,17802.14,0,0,6980824,2739,0,5061,13821,4,0,883428,1811225,269,6670970,0,0,0,129968108.3,5222386.27,15645679.26,2359849.99,0,6456.93,0,0,0,29553054.01,277260.63,464223.18,223725.98,192414.58,1478.46,1555201.06,0,0,0,0,0,8279443.64,670507.82,2746761.91,3931595299,30196179.36,88189290.32,1129528.97,0,6296.42,4667930931,43959864.53,73771012.21,607078
201602, 2.103 ,9050770779,146725048.8,209607788.5,111529948,34807091.85,0,181088817.9,2536944.41,0,29358916.88,542940.41,1860280.97,0,13141764.59,3967312575,1067345.17,4750543631,0,0,0,0,230009,0,15952.14,0,24448.34,103118210,19923.03,0,0,5345618,2832,0,5375,15951,4,0,1210774,1809941,331,6863490,0,0,0,160215156.4,5536362.73,15337298.73,2530487.48,0,6456.93,0,0,0,28798656.61,210642.88,579626.39,370017.08,171444.87,1478.46,1876233.11,0,0,0,0,0,9243835.46,931668.25,2990709.22,3949499728,32423538.29,88507519.02,772772.25,308199.53,6296.42,4616704630,54762817.3,79076183.58,608295
201603, 2.208 ,9375741840,242468239.6,197166294.1,193697463.7,47655032.43,0,203191815.6,2558749.15,0,28440889.46,659831.67,1778770.05,0,12721046.31,3970380833,1018716.55,5052558225,0,0,0,0,211149.25,0,13135.74,0,25771.75,102257764.3,23376.03,0,0,5459837,2918,0,4782,16826,0,0,1476846,1648676,389,6253494,0,0,0,182069395.3,5522801.53,15599618.84,2552292.22,0,6456.93,0,0,0,28002705.49,158988.41,490344.81,411081.91,247271.3,1478.46,1791905.79,0,0,0,0,0,6226856.36,3590425.3,2929536.4,3948830771,38974488.24,84833337.46,723587.2,312208.96,6296.42,4912562031,66505238.73,73490955.5,631447
201604, 2.413 ,9457712643,216932618.7,208866559.8,127272942.7,88735107.53,0,212758642.3,2368408.84,0,27727610.47,490874.02,1791149.44,0,11899296.1,3985427505,965728.66,5109552503,0,0,0,0,203631.29,0,14604.99,0,27613.23,104603923.7,14862.59,0,0,5708484,3012,0,4888,13452,0,0,1175735,1627313,360,6632047,0,0,0,190596064.6,5678815.6,16483762.05,2361951.91,0,6456.93,0,0,0,27234371.16,292273.13,404597.47,313282.73,176112.83,1478.46,1805754.43,0,0,0,0,0,5924653.79,2754766.72,3247488.82,3956438031,45336282.86,88257114.1,974294.83,0,6296.42,4957066442,73643431.6,78842629.38,631371
201605, 2.363 ,9553636076,219203521.2,230525724.7,155455802.4,62802036.17,0,213997606.7,2390052.48,0,26999189.03,618104.82,1548269.8,0,10794056.02,4000282484,934949.68,5190042522,0,0,0,0,215872.44,0,10216.41,0,19040.17,105856074.6,13496.77,0,0,5952125,3101,0,5367,15317,0,0,976635,1596764,1034,6570180,0,0,0,190768545.6,6611938.97,16617122.2,2383595.55,0,6456.93,0,0,0,26457887.5,357472.6,399701.37,448855.31,167771.05,1478.46,1558486.21,0,0,0,0,0,5737006.12,1301509.68,3774580.39,3964943783,50656293.65,90538481.68,921033.65,0,27412.8,5012727728,93361683.91,83953110.25,626946
201606, 2.429 ,10042184249,204754699.4,237311485.1,131489936,73078826.61,0,228334754.2,2140388.59,0,26372483.51,520433,1484834.55,0,10261581.37,4059324760,872512.42,5605005548,0,0,0,0,200145.74,0,10196.85,0,20099.06,107666564.2,11103.26,0,0,5997471,3194,0,5763,13359,0,0,931988,1516363,391,6346636,0,0,0,205699239.6,5647168.04,16988346.58,2133931.66,0,6456.93,0,0,0,25695833.78,225717.29,651078.18,340047.61,178906.93,1478.46,1495031.4,0,0,0,0,0,5351392.94,1366116.86,3564170.63,4015016057,56623540.43,95351727.33,877319.26,0,6296.42,5430652835,84233204.2,90119508.59,642057
201607, 2.371 ,10316017400,184644056.1,250550537.8,124702914.7,59287988.66,0,192357286.2,5575451.52,0,25622901.56,536948.83,1632953.59,0,10168689.18,4185476125,827836.84,5792924843,0,0,0,0,191357.74,0,12729.99,0,17628.7,100711139.4,10533.74,0,0,6193738,2382,0,5553,13949,0,0,922979,1458706,421,6154205,0,0,0,169712166,4873871.3,17771248.92,5571606.09,0,3845.43,0,0,0,24973008.1,393125.14,448126.06,372841.55,162628.82,1478.46,1645683.58,0,0,0,0,0,5591104.69,1274951.69,3320261.5,4126559810,62047791.37,97579663.64,832074.16,0,6296.42,5622760912,70997139.92,99166790.81,633700
